country_iso3,law_effect_date
LIE,2025-01-01
THA,2025-01-22
GRC,2024-02-15
EST,2024-01-01
SVN,2022-10-04
AND,2022-07-21
CUB,2022-09-25
CHL,2021-11-23
SVN,2022-07-08
CHE,2020-12-16
CRI,2020-05-26
AUT,2019-01-01
TWN,2019-05-04
ECU,2019-07-08
FRA,2013-05-17
ESP,2005-07-03
NLD,2001-01-01
DNK,2012-06-15
IRL,2015-11-16
BEL,2003-06-01
BRA,2013-01-01
CAN,2005-01-01
ISL,2010-06-27
ARG,2010-07-15
LUX,2014-06-18
PRT,2010-06-05
USA,2015-06-26
FIN,2017-03-01
DEU,2017-10-01
GRC,2024-02-15
NZL,1986-07-11
NOR,2009-01-01
URY,2013-08-05
COL,2016-04-28
CRI,2020-05-26
AUS,2017-12-09
NPL,2008-11-17
